sku,ean,descricao,criado_em,atualizado_em
AL6026,7908713201451,APARELHO SOM RUÍDO BEBÊS DORMIR BEM - COR: BRANCO - CÓD: AL6026 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6027-BL,7908713206555,CERCADINHO DESMONTAVEL PORTATIL AZUL - CÓD: AL6027-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6027-PK,7908713206548,CERCADINHO DESMONTAVEL PORTATIL ROSA - CÓD: AL6027-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6030,7908713201468,ESPELHO BEBE INTERIOR CARRO - CÓD: AL6030 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6031,7908713201482,FAROL MILHA RETANGULAR 24 LED 72W - CÓD: AL6031 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6032,7908713201499,OCULOS VR COM FONE OUVIDO E CONTROLE REMOTO - CÓD: AL6032 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6035-B,7908713206166,LUMINÁRIA MESA ABAJUR ARTICULAVEL BASE - COR: PRETO - CÓD: AL6035-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6035-PK,7908713206180,LUMINÁRIA MESA ABAJUR ARTICULAVEL BASE - COR: ROSA - CÓD: AL6035-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6035-W,7908713206197,LUMINÁRIA MESA ABAJUR ARTICULAVEL BASE - COR: BRANCO - CÓD: AL6035-W - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6035-W-PK-B,7908713206203,LUMINÁRIA MESA ABAJUR ARTICULAVEL BASE - COR: MISTA - CÓD: AL6035-W-PK-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6037-B,7908713207934,RING LIGHT LUPA LUMINARIA 10X - COR: PRETA - CÓD: AL6037-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6037-W,7908713207910,RING LIGHT LUPA LUMINARIA 10X - COR: BRANCO - CÓD: AL6037-W - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6038,7908713201512,LIXEIRA DE EMBUTIR PARA PIA DE COZINHA PEQUENA - CÓD: AL6038 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6039,7908713205947,LIXEIRA DE EMBUTIR PARA PIA DE COZINHA 5 LITROS - CÓD: AL6039 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6042,7908713209624,SUPORTE COM PEDESTAL PARA PARTITURA - COR: PRETO - CÓD. 6042 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6043,7908713209112,SUPORTE PEDESTAL TV 32 A 65 POL - CÓD: AL6043 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6044,7908713203585,"SUPORTE TRIPÉ PARA TV 36"" A 75"" - COR: PRETO - CÓD. AL6044 - MARCA: LORBEN",2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6045,7908713209105,BALANCA CORPORAL DIGITAL VIDRO REDONDA - CÓD: AL6045 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
